"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"19084","ITBEES","Nippon India Nifty IT ETF","EQ","1.0000","1","ETF","E","NSE","53.8000","35.8700","","","2228894"
"11319","LICNETFN50","LIC Nifty ETF","EQ","1.0000","1","ETF","E","NSE","340.3200","226.8800","","","349988"
"6353","NIFTYETF","Mirae Asset Nifty 50 ETF","EQ","1.0000","1","ETF","E","NSE","329.7800","219.8500","","","361067"
"18284","HNGSNGBEES","Nippon India Hang Sen ETF","EQ","1.0000","1","ETF","E","NSE","390.7500","260.5000","","","340550"
"22243","EBBETF0425","Edelweiss BHARAT Bond ETF","EQ","1.0000","1","ETF","E","NSE","1491.2400","994.1600","","","80580"
"10576","NIFTYBEES","Nippon India Nifty Bees ETF","EQ","1.0000","1","ETF","E","NSE","345.3300","230.2200","","","344308"
"17700","LTGILTBEES","Nippon Long Term Gilt ETF","EQ","1.0000","1","ETF","E","NSE","32.2200","21.4800","","","3725310"
"590095","GOLDBEES","Nippon India Gold Bees ETF","E","1.0000","1","ETF","E","BSE","75.9800","50.6500","","","-1"
"11441","LICNETFSEN","LIC Sensex ETF","EQ","1.0000","1","ETF","E","NSE","1120.5600","747.0400","","","105979"
"19289","MOM50","Motilal Oswal M50 ETF","EQ","1.0000","1","ETF","E","NSE","317.4100","211.6000","","","57213"
"11457","NV20","Kotak NV 20 ETF","EQ","1.0000","1","ETF","E","NSE","197.7300","131.8200","","","149804"
"7361","SETFNIFBK","SBI Nifty Bank ETF","EQ","1.0000","1","ETF","E","NSE","647.1300","431.4200","","","181557"
"2636","DIVOPPBEES","Nip ETF Div Opportunities","EQ","1.0000","1","ETF","E","NSE","106.2900","70.8600","","","271820"
"1927","LIQUIDETF","DSP Liquid ETF","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","99992"
"22440","UTIBANKETF","UTI Bank ETF","EQ","1.0000","1","ETF","E","NSE","65.1100","43.4000","","","1804389"
"19679","GOLDIETF","ICICI Prudential Gold ETF","EQ","1.0000","1","ETF","E","NSE","78.2700","52.1800","","","1533362"
"15229","LICNFNHGP","LIC Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","347.9700","231.9800","","","342777"
"590097","GOLD1","Kotak Mahindra Gold ETF","E","1.0000","1","ETF","E","BSE","76.4200","50.9500","","","-1"
"29577","NIF100BEES","Nippon India Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","338.3800","225.5900","","","313487"
"25640","LICMFGOLD","IDBI Gold ETF","EQ","5.0000","1","ETF","E","NSE","8248.5500","5499.0500","","","6440"
"590113","HNGSNGBEES","Nippon India Hang Sen ETF","E","1.0000","1","ETF","E","BSE","390.7500","260.5000","","","-1"
"17181","NEXT50","Mirae Asset Nifty Next 50 ETF","EQ","1.0000","1","ETF","E","NSE","939.7900","626.5200","","","127739"
"29553","NIFTYIETF","ICICI Prudential Nifty India","EQ","1.0000","1","ETF","E","NSE","343.5000","229.0000","","","346629"
"11591","HDFCNIFTY","HDFCNIFTY","EQ","1.0000","1","ETF","E","NSE","341.7100","227.8000","","","348528"
"18292","IVZINGOLD","Invesco India Gold ETF","EQ","5.0000","1","ETF","E","NSE","7976.9000","5318.0000","","","6184"
"17044","SHARIABEES","Nippon India Shariah ETF","EQ","1.0000","1","ETF","E","NSE","714.8100","476.5400","","","13489"
"12978","NPBET","Tata Private Bank ETF","EQ","1.0000","1","ETF","E","NSE","327.8000","218.5300","","","12058"
"5851","BANKNIFTY1","Kotak Banking ETF","EQ","1.0000","1","ETF","E","NSE","653.7300","435.8200","","","179680"
